customerid,recency,frequency,monetaryValue,r_score,f_score,m_score,rfm_score,segment,aov,expected_gap,p_active,clv
CUSJ2V2H,17,4,2859.0,5,4,5,14,Champions,714.75,91.2,0.9111,1295.51
CUS9TMQL,19,5,3473.0,5,5,5,15,Champions,694.6,73.0,0.878,1516.59
CUSO4KH2,22,6,4516.0,5,5,5,15,Champions,752.67,60.8,0.8346,1874.58
CUS7U6N7,22,4,3018.0,5,4,5,14,Champions,754.5,91.2,0.8864,1330.59
CUSBNTPB,28,5,4239.0,5,5,5,15,Champions,847.8,73.0,0.8255,1740.42
CUSN9T84,31,2,1568.0,5,2,5,12,Potential Loyalist,784.0,182.5,0.9186,716.38
CUSPQ0Y9,32,3,2134.0,5,3,5,13,Loyal,711.33,121.7,0.8768,930.6
CUSL1CQ9,32,3,2039.0,5,3,5,13,Loyal,679.67,121.7,0.8768,889.17
CUSVAZCC,34,2,1514.0,5,2,4,11,Potential Loyalist,757.0,182.5,0.9111,686.04
CUSMKZEB,36,2,1425.0,5,2,4,11,Potential Loyalist,712.5,182.5,0.9061,642.19
CUS5907I,40,3,2490.0,5,3,5,13,Loyal,830.0,121.7,0.8484,1050.72
CUSZFK8U,44,4,2760.0,5,4,5,14,Champions,690.0,91.2,0.7858,1078.65
CUS65KXV,49,2,1500.0,5,2,4,11,Potential Loyalist,750.0,182.5,0.8744,652.33
CUSCRUYF,58,3,1944.0,5,3,5,13,Loyal,648.0,121.7,0.7879,761.83
CUSEYUHZ,59,4,2906.0,5,4,5,14,Champions,726.5,91.2,0.7238,1046.1
CUSEN93I,60,2,1579.0,5,2,5,12,Potential Loyalist,789.5,182.5,0.8484,666.3
CUSOR56F,61,1,699.0,5,1,2,8,New Customer,699.0,182.5,0.8461,294.16
CUSRCBPL,62,2,1239.0,5,2,4,11,Potential Loyalist,619.5,182.5,0.8438,519.97
CUSW3BME,63,2,1440.0,5,2,4,11,Potential Loyalist,720.0,182.5,0.8415,602.67
CUSTIRZQ,68,1,623.0,5,1,1,7,New Customer,623.0,182.5,0.83,257.19
CUSUBCXU,70,2,1515.0,4,2,4,10,Potential Loyalist,757.5,182.5,0.8255,622.02
CUSLQM5K,73,3,2127.0,4,3,5,12,Loyal,709.0,121.7,0.7408,783.72
CUSKQ1UY,73,2,1343.0,4,2,4,10,Potential Loyalist,671.5,182.5,0.8187,546.89
CUSZ41NA,75,2,1478.0,4,2,4,10,Potential Loyalist,739.0,182.5,0.8143,598.57
CUSFQEWA,80,2,1505.0,4,2,4,10,Potential Loyalist,752.5,182.5,0.8032,601.21
CUSM5IGQ,84,2,1327.0,4,2,4,10,Potential Loyalist,663.5,182.5,0.7944,524.33
CUS92MPN,84,3,2085.0,4,3,5,12,Loyal,695.0,121.7,0.7081,734.29
CUSV6OH9,85,3,2172.0,4,3,5,12,Loyal,724.0,121.7,0.7052,761.79
CUSY4SJ6,86,1,623.0,4,1,1,6,New Customer,623.0,182.5,0.7901,244.82
CUSKOIXN,90,3,2161.0,4,3,5,12,Loyal,720.33,121.7,0.6908,742.52
CUS6KVPU,90,1,756.0,4,1,3,8,New Customer,756.0,182.5,0.7815,293.84
CUSQPGB7,91,2,1449.0,4,2,4,10,Potential Loyalist,724.5,182.5,0.7793,561.66
CUSBDW2P,92,1,698.0,4,1,2,7,New Customer,698.0,182.5,0.7772,269.82
CUSTEIYZ,92,1,706.0,4,1,2,7,New Customer,706.0,182.5,0.7772,272.91
CUSBR7TC,95,2,1447.0,4,2,4,10,Potential Loyalist,723.5,182.5,0.7708,554.77
CUSQ0B8I,95,1,799.0,4,1,3,8,New Customer,799.0,182.5,0.7708,306.33
CUS3FB9W,97,1,716.0,4,1,2,7,New Customer,716.0,182.5,0.7666,273.01
CUS8D1WJ,101,1,640.0,4,1,1,6,New Customer,640.0,182.5,0.7583,241.37
CUS0LVSN,103,2,1323.0,4,2,4,10,Potential Loyalist,661.5,182.5,0.7541,496.23
CUSHR62G,103,1,672.0,4,1,2,7,New Customer,672.0,182.5,0.7541,252.05
CUSQ5C34,110,1,612.0,3,1,1,5,Promising,612.0,182.5,0.7398,225.19
CUSXO9T7,119,1,824.0,3,1,3,7,Promising,824.0,182.5,0.7218,295.81
CUSWD14V,121,1,803.0,3,1,3,7,Promising,803.0,182.5,0.7178,286.7
