customerid,recency,frequency,monetaryValue
CUSJ2V2H,17,4,2859
CUS9TMQL,19,5,3473
CUSO4KH2,22,6,4516
CUS7U6N7,22,4,3018
CUSBNTPB,28,5,4239
CUSN9T84,31,2,1568
CUSPQ0Y9,32,3,2134
CUSL1CQ9,32,3,2039
CUSVAZCC,34,2,1514
CUSMKZEB,36,2,1425
CUS5907I,40,3,2490
CUSZFK8U,44,4,2760
CUS65KXV,49,2,1500
CUSCRUYF,58,3,1944
CUSEYUHZ,59,4,2906
CUSEN93I,60,2,1579
CUSOR56F,61,1,699
CUSRCBPL,62,2,1239
CUSW3BME,63,2,1440
CUSTIRZQ,68,1,623
CUSUBCXU,70,2,1515
CUSLQM5K,73,3,2127
CUSKQ1UY,73,2,1343
CUSZ41NA,75,2,1478
CUSFQEWA,80,2,1505
CUSM5IGQ,84,2,1327
CUS92MPN,84,3,2085
CUSV6OH9,85,3,2172
CUSY4SJ6,86,1,623
CUSKOIXN,90,3,2161
CUS6KVPU,90,1,756
CUSQPGB7,91,2,1449
CUSBDW2P,92,1,698
CUSTEIYZ,92,1,706
CUSBR7TC,95,2,1447
CUSQ0B8I,95,1,799
CUS3FB9W,97,1,716
CUS8D1WJ,101,1,640
CUS0LVSN,103,2,1323
CUSHR62G,103,1,672
CUSQ5C34,110,1,612
CUSXO9T7,119,1,824
CUSWD14V,121,1,803
CUSG8SBI,122,1,716
CUSP87WX,123,1,784
CUSEQTUL,126,2,1551
CUS8DRC1,128,2,1274
CUSO64T0,132,2,1593
CUSPZUE8,136,1,739
CUSRP0J4,136,2,1471
CUS8BBI4,138,1,661
CUSWZS3T,141,1,790
CUSFGSXW,147,2,1545
CUSFAZZ8,151,1,729
CUSBPS3Y,160,1,693
CUSX8FSV,168,1,837
CUSBQH7M,176,1,657
CUSBKK4C,179,1,836
CUSXTAD1,181,1,642
CUSOWGZR,184,1,637
CUSXDP5G,193,1,697
CUS6QJIU,194,1,791
CUSYT7D5,195,1,629
CUS08YG0,201,1,785
CUSAGL58,202,1,689
CUSSEMCI,205,1,640
CUSE511M,210,1,711
CUSV1V93,211,1,658
CUSHZIOY,213,1,717
CUSSWM31,218,1,657
CUSWJCKJ,223,1,828
CUS60FKH,235,1,652
CUST0HL9,251,1,712
CUSUOVW1,254,1,715
CUSY0IFZ,255,1,823
CUSH75LX,262,1,826
CUSHHPBM,267,1,785
CUS5USGI,268,1,725
CUSGOG72,270,1,805
CUSXA11D,277,1,656
CUSR23GD,280,1,690
CUS8G8JD,282,1,688
CUS43D8W,295,1,781
CUSITFOY,300,1,674
CUSF877V,310,1,604
CUSKEYZ7,316,1,738
CUS5Q14J,326,1,724
CUSPTK93,330,1,602
CUS6QICA,343,1,658
CUS6SYLZ,343,1,632
CUSJ2QP8,344,1,769
CUSBMYYM,346,1,826
CUSGVYIE,351,1,663
CUSGXN0G,351,1,677
CUS63CFL,351,1,835
CUSCIYHE,352,1,747
CUSZE5R5,353,1,672
CUS8Z2FL,356,1,606
CUSOTOHP,359,1,842
CUS4GH2M,365,1,779
