customerid,segment,clv,value,behavioural_risk,stated_risk,priority,driver,churn_intent,recoverable,needs_human,blind_spot,route
CUSKEYZ7,Lost,154.43,0.082,1.0,0.946,0.7,circumstance,0.98,0.14,0.45,no,campaign
CUSZE5R5,Lost,127.07,0.068,1.0,0.948,0.697,circumstance,0.98,0.13,0.56,no,campaign
CUSOTOHP,Lost,156.62,0.084,1.0,0.926,0.692,none,0.96,0.14,0.31,no,campaign
CUSF877V,Lost,128.49,0.069,1.0,0.924,0.686,none,0.96,0.15,0.26,no,campaign
CUS4GH2M,Lost,142.54,0.076,1.0,0.883,0.67,price,0.97,0.36,0.33,no,campaign
CUSGXN0G,Lost,128.72,0.069,1.0,0.679,0.576,competitor,0.82,0.69,0.72,no,human
CUS8G8JD,Lost,158.03,0.084,1.0,0.662,0.573,price,0.79,0.65,0.6,no,campaign
CUSITFOY,Lost,147.36,0.079,1.0,0.664,0.573,circumstance,0.82,0.76,0.31,no,campaign
CUSJ2QP8,Lost,149.04,0.08,1.0,0.656,0.569,price,0.8,0.72,0.54,no,campaign
CUS5Q14J,Lost,147.41,0.079,1.0,0.65,0.566,price,0.79,0.71,0.53,no,campaign
CUS6SYLZ,Lost,122.82,0.066,1.0,0.658,0.566,circumstance,0.81,0.75,0.31,no,campaign
CUSGVYIE,Lost,126.05,0.067,1.0,0.652,0.564,price,0.79,0.7,0.68,no,human
CUSPTK93,Lost,121.23,0.065,1.0,0.647,0.561,price,0.78,0.68,0.67,no,human
CUS5907I,Loyal,1050.72,0.561,0.2,0.738,0.55,service,0.44,0.7,0.86,yes,human
CUS5USGI,Hibernating,173.04,0.092,0.85,0.666,0.54,price,0.8,0.67,0.62,no,human
CUSKQ1UY,Potential Loyalist,546.89,0.292,0.45,0.738,0.532,service,0.25,0.72,0.88,no,human
CUSM5IGQ,Potential Loyalist,524.33,0.28,0.45,0.729,0.525,service,0.13,0.75,0.87,no,human
CUSCIYHE,Lost,141.64,0.076,1.0,0.559,0.524,competitor,0.69,0.76,0.59,no,campaign
CUS65KXV,Potential Loyalist,652.33,0.348,0.3,0.731,0.508,service,0.23,0.75,0.91,yes,human
