customerid,churn_intent,severity,severity_max,driver,driver_conf,recoverable,needs_human,weakest_question,weakest_conf
CUSJ2V2H,0.03,0.0,3,none,1.0,0.74,0.24,severity,1.0
CUS9TMQL,0.13,2.07,3,service,1.0,0.78,0.78,severity,0.93
CUSO4KH2,0.02,0.0,3,none,1.0,0.92,0.21,severity,1.0
CUS7U6N7,0.02,0.0,3,none,1.0,0.77,0.12,severity,1.0
CUSBNTPB,0.03,0.05,3,none,0.99,0.27,0.27,severity,0.95
CUSN9T84,0.05,0.0,3,none,0.93,0.73,0.34,driver,0.93
CUSPQ0Y9,0.02,0.0,3,none,1.0,0.8,0.26,severity,1.0
CUSL1CQ9,0.02,0.0,3,none,1.0,0.81,0.12,severity,1.0
CUSVAZCC,0.15,1.77,3,product,0.99,0.77,0.47,severity,0.76
CUSMKZEB,0.15,1.77,3,product,0.99,0.77,0.47,severity,0.76
CUS5907I,0.44,2.98,3,service,1.0,0.7,0.86,severity,0.98
CUSZFK8U,0.05,0.05,3,none,0.97,0.27,0.35,severity,0.95
CUS65KXV,0.23,3.0,3,service,1.0,0.75,0.91,severity,1.0
CUSCRUYF,0.81,2.17,3,competitor,0.97,0.64,0.8,severity,0.51
CUSEYUHZ,0.02,0.0,3,none,1.0,0.84,0.12,severity,1.0
CUSEN93I,0.05,0.0,3,none,0.91,0.74,0.21,driver,0.91
CUSOR56F,0.28,3.0,3,service,1.0,0.74,0.89,severity,1.0
CUSRCBPL,0.05,0.05,3,none,0.96,0.71,0.32,severity,0.95
CUSW3BME,0.12,1.91,3,product,1.0,0.8,0.44,severity,0.83
CUSTIRZQ,0.17,2.1,3,service,1.0,0.69,0.72,severity,0.89
CUSUBCXU,0.02,0.0,3,none,1.0,0.69,0.14,severity,1.0
CUSLQM5K,0.03,0.0,3,none,1.0,0.66,0.14,severity,1.0
CUSKQ1UY,0.25,3.0,3,service,1.0,0.72,0.88,severity,1.0
CUSZ41NA,0.49,2.04,3,product,0.99,0.64,0.48,severity,0.96
CUSFQEWA,0.05,1.51,3,product,0.96,0.75,0.65,severity,0.48
CUSM5IGQ,0.13,2.99,3,service,1.0,0.75,0.87,severity,0.99
CUS92MPN,0.05,0.08,3,none,0.96,0.74,0.38,severity,0.92
CUSV6OH9,0.05,0.0,3,none,0.93,0.77,0.29,driver,0.93
CUSY4SJ6,0.15,1.77,3,product,0.99,0.79,0.47,severity,0.76
CUSKOIXN,0.13,2.56,3,service,1.0,0.71,0.87,severity,0.56
CUS6KVPU,0.05,1.55,3,product,0.96,0.75,0.66,severity,0.53
CUSQPGB7,0.03,0.0,3,none,0.99,0.64,0.36,driver,0.99
CUSBDW2P,0.02,0.0,3,none,1.0,0.86,0.11,severity,1.0
CUSTEIYZ,0.02,0.0,3,none,1.0,0.68,0.35,severity,1.0
CUSBR7TC,0.03,0.02,3,none,1.0,0.64,0.16,severity,0.98
CUSQ0B8I,0.15,1.75,3,product,0.99,0.72,0.46,severity,0.74
